decade,century,trials,deaths,country,lon,lat,record.source
1420,1400,17,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1430,1400,17,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1440,1400,17,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1450,1400,11,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1460,1400,11,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1470,1400,11,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1480,1400,11,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1490,1400,11,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1500,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1510,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1520,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1530,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1540,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,100,25,Switzerland,8.2319736,46.7985624,Bader (1945)
1500,1500,14,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1510,1500,14,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1520,1500,14,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1530,1500,14,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1540,1500,14,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,6,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,6,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,6,3,Switzerland,8.2319736,46.7985624,Bader (1945)
