,fromPlaylist,trackName,trackPopularity,trackNumber,isExplicit,artistID,artistName,artistPop,artistGenre,albumName,albumID,albumType,releaseDate,album_nTracks,albumCover,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
30,Who's That Girl,Running Up That Hill (A Deal With God),62,1,False,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,70,art pop,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,album,1985,12,https://i.scdn.co/image/ab67616d0000b27396ab64f52273635308b6bf27,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,75FEaRjZTKLhTrFGsfMUXR,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4
31,Who's That Girl,Hounds Of Love,37,1,False,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,70,art pop,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,album,1985,12,https://i.scdn.co/image/ab67616d0000b27396ab64f52273635308b6bf27,0.546,0.748,5,-13.989,1,0.0384,0.505,0.0,0.16,0.9,145.582,audio_features,0iluWxTpC9QOdVPg3PROvm,spotify:track:0iluWxTpC9QOdVPg3PROvm,https://api.spotify.com/v1/tracks/0iluWxTpC9QOdVPg3PROvm,https://api.spotify.com/v1/audio-analysis/0iluWxTpC9QOdVPg3PROvm,183267,4
32,Who's That Girl,The Big Sky - Special Single Mix,27,1,False,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,70,art pop,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,album,1985,12,https://i.scdn.co/image/ab67616d0000b27396ab64f52273635308b6bf27,0.524,0.877,0,-12.768,0,0.051,0.113,0.381,0.165,0.458,122.704,audio_features,50T7xShSIGpOKvpyVahSAx,spotify:track:50T7xShSIGpOKvpyVahSAx,https://api.spotify.com/v1/tracks/50T7xShSIGpOKvpyVahSAx,https://api.spotify.com/v1/audio-analysis/50T7xShSIGpOKvpyVahSAx,278160,4
33,Who's That Girl,Cloudbusting,39,1,False,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,70,art pop,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,album,1985,12,https://i.scdn.co/image/ab67616d0000b27396ab64f52273635308b6bf27,0.68,0.248,1,-17.465,0,0.0328,0.696,8.88e-06,0.0839,0.812,112.806,audio_features,5atQ2haKP5LT65WM0KUts3,spotify:track:5atQ2haKP5LT65WM0KUts3,https://api.spotify.com/v1/tracks/5atQ2haKP5LT65WM0KUts3,https://api.spotify.com/v1/audio-analysis/5atQ2haKP5LT65WM0KUts3,310160,4
34,Who's That Girl,Waking The Witch,22,1,False,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,70,art pop,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,album,1985,12,https://i.scdn.co/image/ab67616d0000b27396ab64f52273635308b6bf27,0.389,0.515,8,-13.897,0,0.0955,0.476,0.00248,0.122,0.163,127.57,audio_features,745kuNeybZijRylAG8mfUG,spotify:track:745kuNeybZijRylAG8mfUG,https://api.spotify.com/v1/tracks/745kuNeybZijRylAG8mfUG,https://api.spotify.com/v1/audio-analysis/745kuNeybZijRylAG8mfUG,258733,4
35,Who's That Girl,Jig Of Life,21,1,False,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,70,art pop,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,album,1985,12,https://i.scdn.co/image/ab67616d0000b27396ab64f52273635308b6bf27,0.532,0.743,7,-10.253,1,0.134,0.23,0.00195,0.691,0.622,97.019,audio_features,3cB9lIAcucGiuRlKolGd4m,spotify:track:3cB9lIAcucGiuRlKolGd4m,https://api.spotify.com/v1/tracks/3cB9lIAcucGiuRlKolGd4m,https://api.spotify.com/v1/audio-analysis/3cB9lIAcucGiuRlKolGd4m,244307,4
36,Who's That Girl,Rid Of Me - 4-Track Demo Version,24,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,4-Track Demos,1K9Lun3S3LDl6FAWkdRFVN,album,1993,14,https://i.scdn.co/image/ab67616d0000b273779d78e4a208784d153ecd1f,0.76,0.269,9,-13.86,0,0.131,0.862,0.0,0.0654,0.575,143.814,audio_features,4zf080c4FstRUeI4RB1Tz4,spotify:track:4zf080c4FstRUeI4RB1Tz4,https://api.spotify.com/v1/tracks/4zf080c4FstRUeI4RB1Tz4,https://api.spotify.com/v1/audio-analysis/4zf080c4FstRUeI4RB1Tz4,222400,4
37,Who's That Girl,Hardly Wait - 4-Track Demo Version,29,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,4-Track Demos,1K9Lun3S3LDl6FAWkdRFVN,album,1993,14,https://i.scdn.co/image/ab67616d0000b273779d78e4a208784d153ecd1f,0.742,0.237,10,-13.348,1,0.038,0.825,0.0,0.0857,0.349,116.616,audio_features,3DivHejgz3x3dn1FkjHjWJ,spotify:track:3DivHejgz3x3dn1FkjHjWJ,https://api.spotify.com/v1/tracks/3DivHejgz3x3dn1FkjHjWJ,https://api.spotify.com/v1/audio-analysis/3DivHejgz3x3dn1FkjHjWJ,168000,3
38,Who's That Girl,Rub 'Til It Bleeds - 4-Track Demo Version,15,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,4-Track Demos,1K9Lun3S3LDl6FAWkdRFVN,album,1993,14,https://i.scdn.co/image/ab67616d0000b273779d78e4a208784d153ecd1f,0.464,0.145,5,-16.818,1,0.0364,0.903,0.000868,0.0802,0.207,151.859,audio_features,3MGYU0vEEjXihSnEYZsa80,spotify:track:3MGYU0vEEjXihSnEYZsa80,https://api.spotify.com/v1/tracks/3MGYU0vEEjXihSnEYZsa80,https://api.spotify.com/v1/audio-analysis/3MGYU0vEEjXihSnEYZsa80,312333,3
39,Who's That Girl,Diamonds,21,1,False,0Xkd9GsWwOYETVF0kPXZIG,Amanda Lear,42,hi-nrg,Queen Of China-Town,5K34ZG7ZMMCpM993iVlGxM,album,1998,16,https://i.scdn.co/image/ab67616d0000b2733a98053e9e2c194489f5d6ec,0.808,0.965,2,-6.576,1,0.0551,0.384,0.00674,0.36,0.942,142.343,audio_features,0dzOmBFRS4m2x3PL2KMW2U,spotify:track:0dzOmBFRS4m2x3PL2KMW2U,https://api.spotify.com/v1/tracks/0dzOmBFRS4m2x3PL2KMW2U,https://api.spotify.com/v1/audio-analysis/0dzOmBFRS4m2x3PL2KMW2U,230240,4
